index,alias,name,is_closed,review_count,categories,rating,latitude,longitude,price,city,country,state,display_phone,distance
0,restaurante-diamond-rio-branco,Restaurante Diamond,False,1,International; Fast Food; Buffets,5.0,-9.97140282358207,-67.8116656467319,$$,Rio Branco,BR,AC,+55 68 3212-3100,2693.241263788976
1,pizzaria-e-sorveteria-tutti-frutti-rio-branco,Pizzaria e Sorveteria Tutti Frutti,False,1,Italian,4.0,-9.9710699,-67.8095195,$$,Rio Branco,BR,AC,+55 68 3224-8257,2902.9575921831565
2,pinguim-rio-branco,Pinguim,False,1,Pizza; Ice Cream & Frozen Yogurt,4.0,-9.97029562238582,-67.8165201097727,,Rio Branco,BR,AC,+55 68 3244-2535,2390.700819771372
3,cantinho-pizzaria-rio-branco,Cantinho Pizzaria,False,1,Pizza,4.0,-9.9635658,-67.8284988,,Rio Branco,BR,AC,+55 68 3227-2231,2532.371739314697
4,malungo-café-maracanaú,Malungo café,False,1,Restaurants,4.0,-3.8748198,-38.5833321,,Maracanaú,BR,CE,,2694.542350503728
5,saladaria-rio-branco,Saladaria,False,1,Juice Bars & Smoothies; Salad; Bistros,4.0,-9.96078866105721,-67.813759110868,$$,Rio Branco,BR,AC,+55 6899615513,3416.3070395452605
6,café-do-mercado-rio-branco,Café do Mercado,False,2,Diners,3.5,-9.97371006011963,-67.8077011108398,,Rio Branco,BR,AC,+55 68 3223-4567,2694.542350503728
7,don-juan-rio-branco,Don Juan,False,1,Burgers,4.0,-9.96547184003657,-67.8095899522304,,Rio Branco,BR,AC,+55 68 99239-5001,3301.9937923172206
8,guia-do-sabor-pizzaria-rio-branco,Guia do Sabor Pizzaria,False,2,Italian; Pizza,2.0,-9.9616035,-67.8351663,$$,Rio Branco,BR,AC,+55 68 3226-6744,2797.3272667697274
9,restaurante-a-princezinha-rio-branco,Restaurante A Princezinha,False,2,Pizza; Brazilian,2.0,-9.97548395458124,-67.810697819539,$$,Rio Branco,BR,AC,+55 68 3222-7100,2530.4817540227978
10,restaurante-e-churrascaria-cleovan-rio-branco,Restaurante e Churrascaria Cleovan,False,1,Restaurants,3.0,-9.9663914,-67.8146753,,Rio Branco,BR,AC,+55 68 3224-4382,2853.135164490395
11,mister-grill-maceió,Mister Grill,False,1,Steakhouses,4.0,-9.6167498,-35.7200317,$$,Maceió,BR,AL,+55 82 3358-2096,7987.764004417051
12,lopana-maceió-2,Lopana,False,4,Bars; Brazilian,4.0,-9.663814,-35.70395,$$,Maceió,BR,AL,+55 82 3231-7484,8004.496678749673
13,akuaba-maceió-al,Akuaba,False,2,Seafood; Northeastern Brazilian,4.5,-9.6452114,-35.7016016,,Maceió - AL,BR,AL,+55 82 3325-6199,5940.116686992728
14,wanchako-maceió-2,Wanchako,False,5,Peruvian,5.0,-9.65504909400796,-35.6993597746228,$$$$,Maceió,BR,AL,+55 82 3377-6024,6941.978721871524
15,akuaba-maceió,Akuaba,False,2,French,4.5,-9.6450901,-35.7103004,$$$,Maceió,BR,AL,+55 82 3325-6199,6242.701518962785
16,restaurante-janga-maceió,Restaurante Janga,False,3,Seafood,4.5,-9.661993,-35.697453,,Maceió,BR,AL,+55 82 3028-3288,7663.325363699779
17,casa-de-mãinha-maceió,Casa de Mãinha,False,2,Northeastern Brazilian; Buffets,5.0,-9.66356061451105,-35.7087226957083,,Maceió,BR,AL,+55 82 98885-9170,8119.556034974105
18,imperador-dos-camarões-maceió,Imperador dos Camarões,False,6,Northeastern Brazilian; Seafood,4.5,-9.6685423,-35.7142078,$$$$,Maceió,BR,AL,+55 82 3231-4134,8841.467394214982
19,santo-orégano-maceió,Santo Orégano,False,2,Pizza,4.5,-9.58009122666007,-35.6584697011345,,Maceió,BR,AL,+55 82 3432-1222,3423.811250914164
20,massarella-maceió,Massarella,False,4,Brazilian; Pizza,4.5,-9.6505043,-35.70161,$$,Maceió,BR,AL,+55 82 3325-6000,6473.197182399556
21,armazém-guimarães-maceió-2,Armazém Guimarães,False,7,Italian; Pizza,4.5,-9.650901,-35.701217,$$,Maceió,BR,AL,+55 82 3325-4545,6538.992123727696
22,divina-gula-maceió,Divina Gula,False,2,Restaurants,4.5,-9.64641696433671,-35.7050001493351,$$$,Maceió,BR,AL,+55 82 3325-7055,6181.86901297774
23,bodega-do-sertão-maceió,Bodega do Sertão,False,4,Brazilian,4.5,-9.65321759842571,-35.6995966398721,,Maceió,BR,AL,+55 82 3327-4446,6748.335356411427
24,arrí-forneria-maceió,Arrí Forneria,False,3,Tapas Bars,4.5,-9.6417614073698,-35.700622747013,,Maceió,BR,AL,+55 82 3325-4305,5541.803885281977
25,massagueirinha-maceió-2,Massagueirinha,False,5,Bars; Seafood,4.0,-9.65677586293796,-35.7087407624071,$$,Maceió,BR,AL,+55 82 3327-1027,7404.522300672327
26,hibiscus-maceió,Hibiscus,False,2,Brazilian,5.0,-9.56468053565792,-35.6453086710175,$$$$,Maceió,BR,AL,+55 82 3234-1438,5553.993935055442
27,parmegianno-maceió,Parmegianno,False,5,Restaurants,3.0,-9.6447382,-35.7003746,,Maceió,BR,AL,+55 82 3325-9495,5870.372855115556
28,le-premier-maceió,Le Premier,False,1,Brazilian; International,5.0,-9.666354,-35.712538,,Maceió,BR,AL,,8547.41460688805
29,kanoa-maceió,Kanoa,False,1,Brazilian; Beach Bars,5.0,-9.6638435384008,-35.705786,,Maceió,BR,AL,+55 8291910753,8058.535090517338
30,new-hakata-maceió,New Hakata,False,3,Chinese; Japanese,4.0,-9.6485052,-35.705616,$$,Maceió,BR,AL,+55 82 3325-6160,6336.076970682851
31,anamá-restaurante-maceió,Anamá Restaurante,False,2,Buffets; Delis,3.0,-9.664085427878,-35.6986348782352,,Maceió,BR,AL,+55 82 3305-4405,7914.1336352531425
32,massarela-maceió,Massarela,False,3,Restaurants,4.0,-9.6510663,-35.7014958,$$$$,Maceió,BR,AL,,6564.45611066184
33,filé-do-zezé-maceió,Filé do Zezé,False,2,Pizza; Northeastern Brazilian; Beer Bar,3.0,-9.649322,-35.702567,$$,Maceió,BR,AL,+55 82 3313-4004,6408.561250493321
34,restaurante-picuí-maceió,Restaurante Picuí,False,1,Brazilian; Steakhouses,4.0,-9.66980200352107,-35.7293633770158,,Maceió,BR,AL,+55 82 3223-8080,9662.799311082568
35,nirá-sushi-maceió,Nirá Sushi,False,2,Restaurants,5.0,-9.6662515,-35.7350983,$$$,Maceió,BR,AL,+55 82 3325-8157,9653.485241098282
36,bar-brasil-maceió,Bar Brasil,False,1,Restaurants; Bars,3.0,-9.593499,-35.6705622,,Maceió,BR,AL,,1732.3065856142975
37,milk-maceió,Milk,False,1,Brazilian; Pubs,2.0,-9.586044,-35.664426,,Maceió,BR,AL,+55 8299091125,2560.015771785996
38,restaurante-dragão-maceió,Restaurante Dragão,False,2,Restaurants,3.0,-9.6702194,-35.7158999,$$,Maceió,BR,AL,+55 8202312933,9078.29268597874
39,forneto-pizzaria-maceió,Forneto Pizzaria,False,1,Pizza,5.0,-9.636988,-35.737356,,Maceió,BR,AL,+55 82 3027-1230,7359.739298516372
40,ótimo-maceió,Ótimo,False,1,Restaurants,5.0,-9.66651,-35.735,,Maceió,BR,AL,,9653.485241098282
41,restaurante-o-peixarão-maceió,Restaurante O Peixarão,False,3,Brazilian,4.5,-9.65334626056131,-35.6994898258206,,Maceió,BR,AL,+55 82 3325-7011,6759.803620906553
42,grão-espresso-cafeteria-hiper-gbarbosa-maceió,Grão Espresso Cafeteria  Hiper Gbarbosa,False,1,Coffee & Tea; Cafes; Fast Food,5.0,-9.6490748,-35.7072404,,Maceió,BR,AL,+55 8288332111,6543.361733952233
43,marios-burgers-maceió,Marios Burgers,False,1,Sandwiches; Burgers,4.0,-9.62672454115253,-35.7334437909979,,Maceió,BR,AL,+55 82 98850-4570,6319.28438013309
44,sueca-comedoria-maceió,Sueca Comedoria,False,1,Restaurants,4.0,-9.6658802,-35.7111588,,Maceió,BR,AL,+55 82 3327-0359,8668.037290643828
45,sabatelli-pizza-e-arte-maceió,Sabatelli Pizza & Arte,False,1,Pizza; Italian,4.0,-9.591866,-35.73742,,Maceió,BR,AL,+55 82 3316-3116,5603.485580276309
46,mostardas-hamburgueria-maceió,Mostardas Hamburgueria,False,2,Juice Bars & Smoothies; Burgers; Sandwiches,4.0,-9.6430397,-35.6993103,$,Maceió,BR,AL,+55 82 3313-7888,5598.727637115737
47,don-burguer-hamburgueria-goumert-maceió,Don Burguer Hamburgueria Goumert,False,1,Diners,4.0,-9.6638002,-35.7055817,$$,Maceió,BR,AL,+55 82 3325-5755,7945.520522465604
48,palato-café-maceió,Palato Café,False,2,Bistros; Cafes,2.5,-9.65657638960183,-35.7053164969836,$$$,Maceió,BR,AL,+55 82 2121-7575,7267.458087172786
49,palato-maceió-2,Palato,False,3,Delicatessen; Grocery; Japanese,3.5,-9.645732,-35.733748,$$,Maceió,BR,AL,+55 82 2126-3000,7755.624622514238
50,restaurante-ocara-maceió,Restaurante Ocara,False,1,Seafood,5.0,-9.528586,-35.607876,,Maceió,BR,AL,+55 82 3234-1196,11263.897453954158
51,bendita-massa-maceió,Bendita Massa,False,1,Italian,5.0,-9.66651,-35.735,,Maceió,BR,AL,,9653.485241098282
52,super-pizza-maceió,Super Pizza,False,1,Pizza,5.0,-9.66651,-35.735,,Maceió,BR,AL,,9653.485241098282
53,take-maceió,Take,False,2,Japanese,5.0,-9.66651,-35.735,,Maceió,BR,AL,,9653.485241098282
54,sushi-maki-maceió,Sushi Maki,False,1,Sushi Bars; Japanese,4.0,-9.6641293,-35.69627,$$,Maceió,BR,AL,+55 8296991999,7832.934004830462
55,galeteria-do-chef-maceió,Galeteria do Chef,False,1,Restaurants,3.0,-9.6101265,-35.7254295,,Maceió,BR,AL,+55 82 3328-5075,4407.643803943598
56,carlito-pizzaria-e-restaurante-maceió,Carlito Pizzaria e Restaurante,False,3,Pizza,3.5,-9.66289737334599,-35.6957703323422,,Maceió,BR,AL,+55 82 3231-4020,7735.8629103187695
57,chino-pop-maceió,Chino Pop,False,1,Chinese,3.0,-9.6502812523959,-35.7068239577895,,Maceió,BR,AL,+55 82 3432-7007,6653.660357298381
58,bon-grillê-maceió,Bon Grillê,False,2,Restaurants,5.0,-9.66651,-35.735,$,Maceió,BR,AL,,9653.485241098282
59,café-ponta-verde-maceió,Café Ponta Verde,False,1,Diners; Cafes,3.0,-9.66231587877817,-35.7014783844352,,Maceió,BR,AL,,7780.721519017423
60,casa-da-picanha-maceió,Casa da Picanha,False,2,Restaurants,2.5,-9.6514254,-35.7099228,,Maceió,BR,AL,+55 82 3355-5339,6883.540113908094
61,observatório-maceió,Observatório,False,1,Bars; Mexican,2.0,-9.6512616,-35.7080347,$$,Maceió,BR,AL,+55 82 3316-0827,6801.618948176786
62,bobs-maceió,Bobs,False,1,Fast Food,5.0,-9.66651,-35.735,,Maceió,BR,AL,,9653.485241098282
63,don-pastello-maceió,Don Pastello,False,1,Fast Food,5.0,-9.66651,-35.735,,Maceió,BR,AL,,9653.485241098282
64,restaurante-candelabro-maceió,Restaurante Candelabro,False,1,Restaurants,3.0,-9.6700917,-35.7388282,,Maceió,BR,AL,+55 82 3326-4550,10235.963423511152
65,pizza-americana-maceió,Pizza Americana,False,1,Pizza,1.0,-9.61080834661259,-35.7261412963271,,Maceió,BR,AL,+55 82 3317-0080,4747.762519934476
66,china-in-box-maceió,China in Box,False,2,Chinese,4.0,-9.66651,-35.735,$$,Maceió,BR,AL,,9653.485241098282
67,mcdonalds-maceió,McDonalds,False,1,Fast Food,5.0,-9.66651,-35.735,,Maceió,BR,AL,,9653.485241098282
68,dominos-maceió,Domino's,False,1,Pizza,1.0,-9.651458,-35.705658,,Maceió,BR,AL,+55 82 3317-8797,6735.74081098956
69,sarahs-esfihas-maceió,Sarah's Esfihas,False,1,Fast Food,5.0,-9.66651,-35.735,$,Maceió,BR,AL,,9653.485241098282
70,barricas-maceió,Barrica's,False,1,Bars; Brazilian,3.0,-9.65846286457411,-35.6982102473396,$$,Maceió,BR,AL,+55 82 3327-0909,7290.378973256694
71,max-pizzaria-maceió,Max Pizzaria,False,1,Pizza,1.0,-9.6295881,-35.737793,,Maceió,BR,AL,+55 82 3338-3059,6857.958128433168
72,jc-lanches-maceió,JC Lanches,False,1,Food Stands; Sandwiches,3.0,-9.66110523002839,-35.7012556105896,,Maceió,BR,AL,,7643.993413182454
73,manjericão-restaurante-cafeteria-maceió,Manjericão Restaurante-Cafeteria,False,1,Restaurants,3.0,-9.6566311,-35.7054032,,Maceió,BR,AL,+55 82 3231-2930,7276.009848010597
74,creperia-flor-das-águas-maceió,Creperia flor das águas,False,1,Creperies,5.0,-9.66651,-35.735,,Maceió,BR,AL,,9653.485241098282
75,boteco-do-mar-maceió,Boteco do Mar,False,1,Seafood; Northeastern Brazilian,2.0,-9.65809279921137,-35.7050242647529,,Maceió,BR,AL,+55 82 3027-1980,7420.285588619189
76,pizzaria-papito-maceió,Pizzaria Papito,False,1,Pizza,1.0,-9.6213102,-35.7328911,,Maceió,BR,AL,+55 82 3241-4849,6008.10710832879
77,divinas-pizza-maceió,Divina's Pizza,False,1,Pizza; Brazilian; Food Delivery Services,3.0,-9.6654234,-35.7194252,$,Maceió,BR,AL,+55 82 3327-6682,9653.485241098282
78,sushie-maceió,Sushie,False,1,Japanese,3.0,-9.6512565,-35.7061393,$$,Maceió,BR,AL,+55 82 3325-4341,6731.28903694186
79,nicole-maceió,Nicole,False,1,Pizza,3.0,-9.6452646,-35.7080307,$,Maceió,BR,AL,+55 82 3235-4646,5963.316342068986
80,pizza-bar-o-piano-maceió,Pizza Bar O Piano,False,1,Pizza,3.0,-9.64738,-35.70357,$,Maceió,BR,AL,+55 82 3355-1433,6326.886490278118
81,estaleiro-restaurante-macapá,Estaleiro Restaurante,False,1,Brazilian; Seafood,5.0,0.0242747141244913,-51.056740703924,,Macapá,BR,AP,+55 96 3222-8375,9717.26037086369
82,sweet-coffee-macapá,Sweet Coffee,False,1,Cafes,5.0,0.040964,-51.059707,,Macapá,BR,AP,+55 96 99139-5917,7941.825957678557
83,pizzaria-e-restaurante-zero-grau-macapá,Pizzaria e Restaurante Zero Grau,False,1,Italian,2.0,0.0343538,-51.0621128,,Macapá,BR,AP,+55 96 3223-7844,8447.287850647217
