index,id,alias,name,image_url,is_closed,url,review_count,categories,rating,latitude,longitude,price,address1,city,zip-code,country,state,phone,display_phone,distance
0000,e7XbaW51Niv5vy-FW87JHQ,restaurante-diamond-rio-branco,Restaurante Diamond,https://s3-media1.fl.yelpcdn.com/bphoto/sDmxn5b27oLX0gQWM3eZYQ/o.jpg,False,https://www.yelp.com/biz/restaurante-diamond-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,"International, Fast Food, Buffets",5.0,-9.97140282358207,-67.8116656467319,$$,Best Western,Rio Branco,69900-379,BR,AC,556832123100.0,+55 68 3212-3100,2693.241263788976
0001,WuJzqvbxI3NPxeiuDLGWmg,pizzaria-e-sorveteria-tutti-frutti-rio-branco,Pizzaria e Sorveteria Tutti Frutti,,False,https://www.yelp.com/biz/pizzaria-e-sorveteria-tutti-frutti-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Italian,4.0,-9.9710699,-67.8095195,$$,Av Ceará 1408,Rio Branco,69908-690,BR,AC,556832248257.0,+55 68 3224-8257,2902.9575921831565
0002,nOQcyjRc8-ayHNP41GQJrg,pinguim-rio-branco,Pinguim,https://s3-media4.fl.yelpcdn.com/bphoto/Jkt5UoOiqrHJSJhNpYZbFQ/o.jpg,False,https://www.yelp.com/biz/pinguim-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,"Pizza, Ice Cream & Frozen Yogurt",4.0,-9.97029562238582,-67.8165201097727,,"Av. Ceará, 1998",Rio Branco,69900-303,BR,AC,556832442535.0,+55 68 3244-2535,2390.700819771372
0003,r0cJiWCyBsnoC2--CHssvg,cantinho-pizzaria-rio-branco,Cantinho Pizzaria,https://s3-media1.fl.yelpcdn.com/bphoto/bQYVpZSawBVb8FRJDe6QXw/o.jpg,False,https://www.yelp.com/biz/cantinho-pizzaria-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Pizza,4.0,-9.9635658,-67.8284988,,R. Isaura Parente 1642,Rio Branco,69918-270,BR,AC,556832272231.0,+55 68 3227-2231,2532.371739314697
0004,pYmh5dvY4iirxQ6t1vJWAA,malungo-café-maracanaú,Malungo café,https://s3-media3.fl.yelpcdn.com/bphoto/lJHeVx7Y8DSmSmemH6pmKA/o.jpg,False,https://www.yelp.com/biz/malungo-caf%C3%A9-maracana%C3%BA?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Restaurants,4.0,-3.8748198,-38.5833321,,"Rua Sete de Setembro, 454, Boa Vista (Espaço Rio Branco)",Maracanaú,,BR,CE,,,2694.542350503728
0005,qIE2GpOqVI8bsy7HBXDJiA,saladaria-rio-branco,Saladaria,https://s3-media4.fl.yelpcdn.com/bphoto/CfsoUFZycpVBK3omZ8mdwg/o.jpg,False,https://www.yelp.com/biz/saladaria-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,"Juice Bars & Smoothies, Salad, Bistros",4.0,-9.96078866105721,-67.813759110868,$$,"Rua Futuro, 176",Rio Branco,69900-709,BR,AC,556899615513.0,+55 6899615513,3416.3070395452605
0006,UMFGqC0Mkg6hZW8kZHed8g,café-do-mercado-rio-branco,Café do Mercado,https://s3-media3.fl.yelpcdn.com/bphoto/dpYfz1ufb79mj7esECdPGw/o.jpg,False,https://www.yelp.com/biz/caf%C3%A9-do-mercado-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,2,Diners,3.5,-9.97371006011963,-67.8077011108398,,Tv. Capitania 1 c 900,Rio Branco,69900-001,BR,AC,556832234567.0,+55 68 3223-4567,2694.542350503728
0007,Akl2cYX1MVnIrhnA82IJuw,don-juan-rio-branco,Don Juan,https://s3-media2.fl.yelpcdn.com/bphoto/QRCKx77jAwGnKj9x6ccPOA/o.jpg,False,https://www.yelp.com/biz/don-juan-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Burgers,4.0,-9.96547184003657,-67.8095899522304,,Praça José Augusto,Rio Branco,,BR,AC,5568992395001.0,+55 68 99239-5001,3301.9937923172206
0008,AHiyd2fL_AxyVwxFewgFYA,guia-do-sabor-pizzaria-rio-branco,Guia do Sabor Pizzaria,,False,https://www.yelp.com/biz/guia-do-sabor-pizzaria-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,2,"Italian, Pizza",2.0,-9.9616035,-67.8351663,$$,"R. Isaura Parente, 2420",Rio Branco,69907-650,BR,AC,556832266744.0,+55 68 3226-6744,2797.3272667697274
0009,RwB_ixWTROvNOwz7BTBAnw,restaurante-e-churrascaria-cleovan-rio-branco,Restaurante e Churrascaria Cleovan,,False,https://www.yelp.com/biz/restaurante-e-churrascaria-cleovan-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Restaurants,3.0,-9.9663914,-67.8146753,,Rua Hugo Carneiro 234,Rio Branco,69908-250,BR,AC,556832244382.0,+55 68 3224-4382,2853.135164490395
