name,is_closed,url,review_count,categories,rating,latitude,longitude,price,address1,city,country,state,distance,price_numeric
Restaurante Diamond,False,https://www.yelp.com/biz/restaurante-diamond-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,"International, Fast Food, Buffets",5.0,-9.97140282358207,-67.8116656467319,$$,Best Western,Rio Branco,BR,AC,2693.24,2.0
Pizzaria e Sorveteria Tutti Frutti,False,https://www.yelp.com/biz/pizzaria-e-sorveteria-tutti-frutti-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Italian,4.0,-9.9710699,-67.8095195,$$,Av Ceará 1408,Rio Branco,BR,AC,2902.96,2.0
Pinguim,False,https://www.yelp.com/biz/pinguim-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,"Pizza, Ice Cream & Frozen Yogurt",4.0,-9.97029562238582,-67.8165201097727,,"Av. Ceará, 1998",Rio Branco,BR,AC,2390.7,
Cantinho Pizzaria,False,https://www.yelp.com/biz/cantinho-pizzaria-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Pizza,4.0,-9.9635658,-67.8284988,,R. Isaura Parente 1642,Rio Branco,BR,AC,2532.37,
Malungo café,False,https://www.yelp.com/biz/malungo-caf%C3%A9-maracana%C3%BA?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Restaurants,4.0,-3.8748198,-38.5833321,,"Rua Sete de Setembro, 454, Boa Vista (Espaço Rio Branco)",Fortaleza,BR,CE,2694.54,
Saladaria,False,https://www.yelp.com/biz/saladaria-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,"Juice Bars & Smoothies, Salad, Bistros",4.0,-9.96078866105721,-67.813759110868,$$,"Rua Futuro, 176",Rio Branco,BR,AC,3416.31,2.0
Café do Mercado,False,https://www.yelp.com/biz/caf%C3%A9-do-mercado-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,2,Diners,3.5,-9.97371006011963,-67.8077011108398,,Tv. Capitania 1 c 900,Rio Branco,BR,AC,2694.54,
Don Juan,False,https://www.yelp.com/biz/don-juan-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Burgers,4.0,-9.96547184003657,-67.8095899522304,,Praça José Augusto,Rio Branco,BR,AC,3301.99,
Guia do Sabor Pizzaria,False,https://www.yelp.com/biz/guia-do-sabor-pizzaria-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,2,"Italian, Pizza",2.0,-9.9616035,-67.8351663,$$,"R. Isaura Parente, 2420",Rio Branco,BR,AC,2797.33,2.0
Restaurante A Princezinha,False,https://www.yelp.com/biz/restaurante-a-princezinha-rio-branco?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,2,"Pizza, Brazilian",2.0,-9.97548395458124,-67.810697819539,$$,"Travessa da Catedral, 14",Rio Branco,BR,AC,2530.48,2.0
